"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
125,"NCT03404167","A Study to Evaluate the Safety, Tolerability and Plasma PK of a Single Oral Dose of Zoliflodacin in Healthy Male and Female Volunteers",,"Completed","Has Results","Gonorrhoea","Drug: AZD0914","Maximum Observed Concentration (Cmax) of Zoliflodacin|Time of Maximum Observed Concentration (Tmax) of Zoliflodacin|Area Under the Concentration Time-curve From Time Zero to Infinity (AUC(0-infinity)) for Zoliflodacin|Area Under the Concentration Time-curve From Time Zero to the Last Concentration Above the Lower Limit of Quantitation (AUC(0-last)) for Zoliflodacin|Apparent Volume of Distribution (Vz/F) of Zoliflodacin|Apparent Oral Clearance (CL/F) of Zoliflodacin|Elimination Rate Constant (Ke) of Zoliflodacin|Terminal Elimination Half-life (t1/2) of Zoliflodacin|Changes From Baseline for White Blood Cells With Differentials and Platelets|Changes From Baseline Hematocrit|Changes From Baseline Hemoglobin|Changes From Baseline Red Blood Cell Count|Changes From Baseline for Albumin and Total Protein|Change From Baseline for Alkaline Phosphatase (AP), Alanine Aminotransferase (ALT), and Aspartate Aminotransferase (AST)|Change From Baseline for Blood Urea Nitrogen (BUN), Serum Creatinine, Glucose (Fasting at Least 4h), Magnesium, Total and Direct Bilirubin|Changes From Baseline for Sodium, Potassium, Chloride and Bicarbonate|Changes From Baseline for Blood Pressure - Systolic|Changes From Baseline for Blood Pressure - Diastolic|Changes From Baseline in Oral Temperature|Changes From Baseline in Pulse Rate|Changes From Baseline for Respiratory Rate|Changes From Baseline in ECG: PR Interval (Interval From Onset of P-wave to the Onset of the QRS Complex)|Changes From Baseline in ECG: QRS Duration (Time From the Start of the Q-wave to the End of the S-wave)|Changes From Baseline in ECG: QTcF Interval (QT Interval Corrected by Fridericia's Formula)|Changes From Baseline in ECG: QT Interval (Interval From Onset of the Q-wave to the End of the T-wave)|Changes From Baseline in ECG: RR Interval (Interval From the Peak of the R Wave of a QRS Complex to the Peak of the R Wave of the Next QRS Complex)|Changes From Baseline in ECG: Ventricular Rate|Changes From Baseline for Occult Blood Via Dipstick|Changes From Baseline for Glucose Via Dipstick|Changes From Baseline for Protein Via Dipstick|Occurrence of Unsolicited Treatment-emergent Adverse Events|Occurrence of Treatment-emergent Serious Adverse Events","National Institute of Allergy and Infectious Diseases (NIAID)","All","18 Years to 45 Years   (Adult)","Phase 1","8","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-0118|HHSN272201500005I","February 2, 2018","March 2, 2018","March 2, 2018","January 19, 2018","March 18, 2019","March 18, 2019","Quintiles Phase I Services - Overland Park, Overland Park, Kansas, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/67/NCT03404167/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/67/NCT03404167/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03404167"
126,"NCT03403504","OTR Tablet 10 mg Fasted-state Bioequivalence Study",,"Completed","Has Results","Chronic Pain","Drug: Oxycodone Tamper Resistant|Drug: OXYCONTIN®","Cmax of OTR Tablet 10 mg and OXYCONTIN Tablet 10 mg in a Fasted State|AUCt of OTR Tablet 10 mg and OXYCONTIN Tablet 10 mg in a Fasted State|AUCINF of OTR Tablet 10 mg and OXYCONTIN Tablet 10 mg in a Fasted State|Adverse Events of OTR Tablet 10 mg and OXYCONTIN Tablet 10 mg, When Given to Chinese Subjects With Chronic Pain in a Fasted State|Number of AEs Related to Vital Signs|Number of AEs Related to ECGs|Number of Lab Tests With Clinical Significance|Number of AEs Related to Physical Examination","Mundipharma (China) Pharmaceutical Co. Ltd","All","18 Years to 55 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","ONF16-CN-101","February 1, 2017","July 24, 2017","September 7, 2017","January 18, 2018","October 31, 2019","November 26, 2019","The Affiliated Hospital of Liaoning University of Traditional Chinese Medicine, Shenyang, Liaoning, China","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/04/NCT03403504/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/04/NCT03403504/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03403504"
127,"NCT03401671","Study of Lanadelumab in Healthy Japanese and Matched Caucasian Adult Subjects",,"Completed","Has Results","Healthy Volunteers","Drug: Lanadelumab","Maximum Observed Plasma Concentration (Cmax) of Lanadelumab|Time to Reach Maximum Observed Drug Concentration in Plasma (Tmax) of Lanadelumab|Area Under the Concentration-time Curve From Time Zero to the Last Quantifiable Concentration (AUC0-last) in Plasma of Lanadelumab|Area Under the Concentration-time Curve From Time Zero Extrapolated to Infinity (AUC0-inf) of Lanadelumab|Terminal Elimination Rate Constant (Lambda z) for Lanadelumab|Terminal Half-life (t12) of Lanadelumab|Apparent Clearance (CL/F) of Lanadelumab|Apparent Volume of Distribution (Vz/F) of Lanadelumab|Body-weight Adjusted Area Under the Concentration-Time Curve From Time Zero to the Last Quantifiable Concentration (AUC0-last) in Plasma of Lanadelumab|Body-weight Adjusted Area Under the Concentration-Time Curve From Time Zero Extrapolated to Infinity (AUC0-inf) in Plasma of Lanadelumab|Body-weight Adjusted Maximum Observed Plasma Concentration (Cmax) of Lanadelumab|Body-weight Adjusted Apparent Clearance (CL/F) of Lanadelumab|Body-weight Adjusted Apparent Volume of Distribution (Vz/F) of Lanadelumab|Number of Participants With Treatment-Emergent Adverse Events (TEAEs) Based on Severity, Seriousness and Causality|Number of Participants With Clinically Significant Change in Clinical Laboratory Results Reported as an Adverse Event|Number of Participants With Clinically Significant Change in Vital Signs Reported as an Adverse Event|Number of Participants With Clinically Significant Change in Electrocardiogram (ECG) Reported as an Adverse Event|Number of Participants Who Developed Antidrug Antibodies to Lanadelumab at Specified Time Points","Shire","All","18 Years to 55 Years   (Adult)","Phase 1","32","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SHP643-101","January 15, 2018","May 30, 2018","May 30, 2018","January 17, 2018","July 29, 2019","July 29, 2019","WCCT Global, Inc., Cypress, California, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT03401671/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT03401671/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03401671"
128,"NCT03398330","OTR Tablet 40 mg Fed-state Bioequivalence Study",,"Completed","Has Results","Chronic Pain","Drug: Oxycodone Tamper Resistant|Drug: OxyContin®","Cmax of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg in a Fed State|AUCt of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg in a Fed State|AUCINF of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg in a Fed State|Adverse Events of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg, When Given to Chinese Subjects With Chronic Pain in a Fed State|Number of Lab Tests With Clinical Significance|Number of AEs Related to Vital Signs|Number of AEs Related to ECGs|Number of AEs Related to Physical Examination","Mundipharma (China) Pharmaceutical Co. Ltd","All","18 Years to 55 Years   (Adult)","Phase 1","42","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","ONF16-CN-103","March 16, 2017","September 5, 2017","November 6, 2017","January 12, 2018","November 15, 2019","November 15, 2019","Xiangya Hospital of Central South University, Changsha, Hunan, China","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT03398330/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT03398330/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03398330"
129,"NCT03398278","OTR Tablet 40 mg Fasted-state Bioequivalence Study",,"Completed","Has Results","Chronic Pain","Drug: Oxycodone Tamper Resistant|Drug: OXYCONTIN®","Cmax of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg in a Fasted State|AUCt of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg in a Fasted State|AUCINF of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg in a Fasted State|Adverse Event of OTR Tablet 40 mg and OXYCONTIN Tablet 40 mg, When Given to Chinese Subjects With Chronic Pain in a Fasted State|Number of Lab Tests With Clinical Significance|Number of AEs Related to Vital Sign|Number of AEs Related to ECGs|Number of AEs Related to Physical Examination","Mundipharma (China) Pharmaceutical Co. Ltd","All","18 Years to 55 Years   (Adult)","Phase 1","38","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","ONF16-CN-102","June 30, 2017","October 15, 2017","March 20, 2018","January 12, 2018","October 31, 2019","November 26, 2019","West Hospital, Sichuan University, Chengdu, Sichuan, China","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT03398278/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT03398278/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03398278"
130,"NCT03396835","Desaturation Validation of INVSENSOR00009",,"Completed","Has Results","Healthy","Device: INVSENSOR00009","Trending Regional Oxygen Saturation Accuracy of the INVSENSOR00009 Relative to the Control Sensor by Arms Calculation","Masimo Corporation","All","18 Years to 50 Years   (Adult)","Not Applicable","16","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","TP-19029","December 18, 2017","January 16, 2018","January 16, 2018","January 11, 2018","August 28, 2019","August 28, 2019","Masimo Clinical Lab, Irvine, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT03396835/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03396835"
131,"NCT03393208","Glucophage Immediate Release (GIR) China Bioequivalence Study",,"Completed","Has Results","Healthy","Drug: Test GIR|Drug: Reference GIR","Area Under the Plasma Concentration-Time Curve From Time Zero to the Last Sampling Time (AUC 0-t) of Metformin (GIR Tablet Active Ingredient)|Maximum Observed Plasma Concentration (Cmax) of Metformin (GIR Tablet Active Ingredient)|Time to Reach Maximum Plasma Concentration of Metformin (GIR Tablet Active Ingredient)|Apparent Terminal Half-Life (t1/2) of Metformin (GIR Tablet Active Ingredient)|Area Under the Plasma Concentration-Time Curve From Time 0 to Infinity (AUCinf) of Metformin (GIR Tablet Active Ingredient)|Area Under the Plasma Concentration-Time Curve From Time Tlast Extrapolated to Infinity (AUCextra) of Metformin (GIR Tablet Active Ingredient)|Elimination Rate Constant (λz) of Metformin (GIR Tablet Active Ingredient)|Total Body Clearance (CL/f) of Metformin (GIR Tablet Active Ingredient)|Apparent Volume of Distribution at After Extravascular Administration (Vz/f) of Metformin (GIR Tablet Active Ingredient)|Apparent Volume of Distribution at Steady-State After Extravascular Administration (Vss/f) of Metformin|Number of Participants With Treatment-emergent Adverse Events (TEAEs) and Serious TEAEs|Number of Participants With Clinically Significant Abnormalities in Vital Signs, Laboratory Parameters, Physical Examination Findings and 12-lead Electrocardiogram (ECG) Findings","Merck KGaA, Darmstadt, Germany","All","18 Years to 55 Years   (Adult)","Phase 1","44","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","MS200084_0009","January 10, 2018","January 29, 2018","January 29, 2018","January 8, 2018","July 15, 2019","July 15, 2019","Xuanwu Hospital, Beijing, China","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/08/NCT03393208/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/08/NCT03393208/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03393208"
132,"NCT03391986","Acupuncture for Pain Management During Uterine Aspiration",,"Completed","Has Results","Pain Acute|Acupuncture","Device: SEIRIN® Pyonex™ Acupuncture Needles|Procedure: 12 mm Plasters","Visual Analog Scale for Pain (VAS Pain) Score - Acupuncture Versus Routine Care|Change in Visual Analog Scale for Pain (VAS Pain) Score - Placebo Versus Routine Care|Percentage of Patients Rated Good or Very Good on Satisfaction Survey in Overall Care - Acupuncture Versus Routine Care","Columbia University|Society of Family Planning","Female","18 Years to 55 Years   (Adult)","Not Applicable","153","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care","AAAR2610","September 9, 2017","April 30, 2018","July 1, 2018","January 5, 2018","September 3, 2019","September 3, 2019","Columbia University Medical Center, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT03391986/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03391986"
133,"NCT03386435","The Effect of Remote Ischemic Preconditioning in Living Donor Hepatectomy",,"Completed","Has Results","Tissue Donors|Liver Transplantation|Ischemia Reperfusion Injury","Procedure: remote ischemic preconditioning","Postopera The Maximal Aspartate Aminotransferase Level Within 7 Postoperative Days|The Maximal Alanine Aminotransferase Level Within 7 Postoperative Days|Number of Participants With Delayed Recovery of Liver Function|Postoperative Liver Regeneration","Asan Medical Center","All","18 Years to 60 Years   (Adult)","Not Applicable","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","RIPC_donor","August 22, 2016","August 31, 2017","October 30, 2017","December 29, 2017","August 19, 2019","August 19, 2019","Asan medical center, Seoul, Songpa-gu, Korea, Republic of","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT03386435/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03386435"
134,"NCT03380780","A Study to Investigate the Pharmacokinetics, Safety, and Tolerability of Emicizumab in Healthy Chinese Volunteers",,"Completed","Has Results","Healthy Volunteers|Hemophilia A","Drug: Emicizumab","Maximum Observed Plasma Concentration (Cmax) of Emicizumab|Area Under the Plasma Concentration Versus Time Curve (AUC) Between Time Zero Extrapolated to Infinity (AUC0-inf) of Emicizumab|AUC Between Time Zero and the Time of Last Quantifiable Concentration (AUC0-last) of Emicizumab|Time to Cmax (Tmax) of Emicizumab|Apparent Terminal Half-Life (t1/2) of Emicizumab|Apparent Clearance (CL/F) of Emicizumab|Apparent Volume of Distribution (Vz/F) of Emicizumab|Mean Residence Time (MRT) of Emicizumab|Number of Participants With Adverse Events by Highest World Health Organization (WHO) Toxicity Grade|Number of Participants Testing Negative or Positive for the Presence of Anti-Drug Antibodies (ADA) Against Emicizumab by Timepoint and for the Overall Study|Number of Participants With Laboratory Test Abnormalities|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Albumin Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Alkaline Phosphatase Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Bilirubin Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Fasting Blood Glucose Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Blood Urea Nitrogen Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: C-Reactive Protein Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Chloride Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Cholesterol Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Creatine Kinase Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Creatinine Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Direct Bilirubin Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Gamma Glutamyl Transferase Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Lactate Dehydrogenase Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Potassium Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Total Protein Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: SGOT/AST Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: SGPT/ALT Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Sodium Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Fasting Triglycerides Concentration|Change From Baseline in Clinical Chemistry Laboratory Test Results by Timepoint: Uric Acid Concentration|Change From Baseline in Coagulation Laboratory Test Results by Timepoint: Activated Partial Thromboplastin Time|Change From Baseline in Coagulation Laboratory Test Results by Timepoint: Fibrinogen Concentration|Change From Baseline in Coagulation Laboratory Test Results by Timepoint: Prothrombin Time|Change From Baseline in Coagulation Laboratory Test Results by Timepoint: Prothrombin Time/International Normalized Ratio (INR)|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Basophils, Absolute Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Eosinophils, Absolute Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Erythrocyte Mean Corpuscular Hemoglobin|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Erythrocyte Mean Corpuscular Volume|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Erythrocyte Mean Corpuscular Hemoglobin Concentration|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Hematocrit (as a Fraction of 1)|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Hemoglobin Concentration|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Lymphocytes, Absolute Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Monocytes, Absolute Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Total Neutrophils, Absolute Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Platelet Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: Red Blood Cell Count|Change From Baseline in Hematology Laboratory Test Results by Timepoint: White Blood Cell Count|Number of Participants by Test Results for Blood in Urine by Timepoint|Number of Participants by Test Results for Glucose in Urine by Timepoint|Number of Participants by Test Results for Protein in Urine by Timepoint|Change From Baseline in Vital Signs by Timepoint: Diastolic Blood Pressure|Change From Baseline in Vital Signs by Timepoint: Pulse Rate|Change From Baseline in Vital Signs by Timepoint: Respiratory Rate|Change From Baseline in Vital Signs by Timepoint: Systolic Blood Pressure|Change From Baseline in Vital Signs by Timepoint: Temperature (Axillary)|Change From Baseline in Electrocardiogram (ECG) Results by Timepoint: Heart Rate|Change From Baseline in ECG Results by Timepoint: PR Duration|Change From Baseline in ECG Results by Timepoint: QRS Duration|Change From Baseline in ECG Results by Timepoint: QT Duration|Change From Baseline in ECG Results by Timepoint: QTcB Duration (Bazett's Correction Formula)|Change From Baseline in ECG Results by Timepoint: QTcF Duration (Fridericia's Correction Formula)|Change From Baseline in ECG Results by Timepoint: RR Duration|Number of Participants With Concomitant Medications","Hoffmann-La Roche","Male","20 Years to 45 Years   (Adult)","Phase 1","16","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","YP39308","March 12, 2018","September 18, 2018","September 18, 2018","December 21, 2017","September 30, 2019","September 30, 2019","Peking University Third Hospital, Beijing, China","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/80/NCT03380780/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03380780"
135,"NCT03373162","Functional Effects of Botox on the Brain Using MRS and fMRI",,"Completed","Has Results","Healthy","Drug: onabotulinumtoxinA","Glutamate + Glutamine (Glx)/Creatine Ratio as Measured by MRS in the Brainstem Pre and Post-Botox|Change From Baseline in Functional MRI Mean Blood Oxygen Level Dependent (BOLD) Response in the Amygdala|Number of Participants With Structural Brain Volume Change Following Botox Injections","University of California, Irvine|Allergan","Female","30 Years to 40 Years   (Adult)","Phase 4","10","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2017-3377","September 30, 2017","November 1, 2017","November 1, 2017","December 14, 2017","April 26, 2019","April 26, 2019","University of California, Irvine, Irvine, California, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT03373162/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT03373162/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03373162"
136,"NCT03372382","Ibuprofen and Acetaminophen Versus Ibuprofen and Acetaminophen Plus Hydrocodone for Analgesia After Cesarean Section","IVY","Completed","Has Results","Opioid Use|Pain, Postoperative","Drug: Ibuprofen|Drug: Acetaminophen|Drug: Norco","Pain Level|Patient Satisfaction","The University of Texas Health Science Center, Houston","Female","18 Years to 50 Years   (Adult)","Phase 4","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HSC-MS-17-0777","December 13, 2017","April 10, 2018","April 10, 2018","December 13, 2017","July 2, 2019","July 2, 2019","The University of Texas Health Science Center at Houston, Houston, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/82/NCT03372382/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03372382"
137,"NCT03372369","Testing the Impact of Two Posters on Contraceptive Knowledge, Contraceptive Preferences, and Perceived Pregnancy Risk",,"Completed","Has Results","Contraception|Knowledge, Attitudes, Practice","Other: View CDC Poster|Other: View Patient-Centered Poster","Change in Contraceptive Knowledge Assessment (CKA) Score|Change in Effective Contraception Preference Score|Change in Perceived Pregnancy Risk Score","University of North Carolina, Chapel Hill|North Carolina Translational and Clinical Sciences Institute","Female","18 Years to 44 Years   (Adult)","Not Applicable","990","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","17-2955|UL1TR001111","January 26, 2018","February 13, 2018","February 13, 2018","December 13, 2017","June 7, 2019","August 20, 2019","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT03372369/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03372369"
138,"NCT03371459","Assessment of the Safety, Efficacy, PK, and Extrapulmonary Pharmacodynamics (PD) of Albuterol Sulfate Pressurized Inhalation Suspension (Hereafter Referred to as AS MDI) Compared to Proventil as an Active Control in Subjects With Asthma",,"Completed","Has Results","Asthma","Drug: AS MDI|Drug: Proventil","Baseline-adjusted FEV1 30 Minutes After Each Cumulative Dose|Baseline-adjusted FEV1 AUC0-6 After the Last Cumulative Dose","AstraZeneca","All","18 Years to 45 Years   (Adult)","Phase 2","46","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D6930C00002","December 29, 2017","March 26, 2018","March 26, 2018","December 13, 2017","July 23, 2019","July 23, 2019","Research Site, Winter Park, Florida, United States|Research Site, North Dartmouth, Massachusetts, United States|Research Site, Saint Louis, Missouri, United States|Research Site, Raleigh, North Carolina, United States|Research Site, Medford, Oregon, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT03371459/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT03371459/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03371459"
139,"NCT03370289","A Phase 4 Post-marketing Study of Intramuscular Injections of BLB-750 in Healthy Adult Subjects",,"Completed","Has Results","Pandemic Influenza Prevention","Biological: BLB-750 Vaccine (Qinghai RG strain)","Seroprotection Rate as Measured by Single Radial Hemolysis (SRH) Antibody Titer for the Vaccine Strain at 21 Days After the Second Vaccination|Seroconversion Rate as Measured by SRH Antibody Titer for the Vaccine Strain at 21 Days After the Second Vaccination|Geometric Mean Fold Increase (GMFI) in SRH Antibody Titer From Baseline for the Vaccine Strain at 21 Days After the Second Vaccination|Seroprotection Rate as Measured by SRH Antibody Titer for the Vaccine Strain at 21 Days After the First Vaccination|Seroconversion Rate as Measured by SRH Antibody Titer for the Vaccine Strain at 21 Days After the First Vaccination|GMFI in SRH Antibody Titer From Baseline for the Vaccine Strain at 21 Days After the First Vaccination|Geometric Mean Titer (GMT) of SRH Antibody Titer for the Vaccine Strain at 21 Days After Each Vaccination|Number of Participants Reporting Who Had One or More Treatment-emergent Adverse Event (TEAE)|Number of Participants With Adverse Events Related to Solicited Local and Systemic Adverse Events to be Recorded in the Participant Diary|Change From Baseline in Mean Systolic Blood Pressure at Specific Time Points After Vaccination|Change From Baseline in Mean Diastolic Blood Pressure at Specific Time Points After Vaccination|Change From Baseline in Mean Pulse Rate at Specific Time Points After Vaccination|Change From Baseline in Mean Respiratory Rate at 30 Minutes After Vaccination|Mean Body Temperature at Specific Time Points After Vaccination","Takeda","All","20 Years to 49 Years   (Adult)","Phase 4","55","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","BLB-750/CCT-901|U1111-1198-2695|JapicCTI-173797","January 12, 2018","February 28, 2018","February 28, 2018","December 12, 2017","July 29, 2019","July 29, 2019","Sekino Rinsho Yakuri Clinic, Toshima-ku, Tokyo, Japan","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/89/NCT03370289/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/89/NCT03370289/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03370289"
